room_id,relation,target_id,source_file,game_version,steam_build
BaseAnomaly,reward,SpellDrop,RoomDataAnomaly.lua,1.139672,24556151
BaseChaos,encounter,Empty_Chaos,RoomDataChaos.lua,1.139672,24556151
BaseChaos,reward,TrialUpgrade,RoomDataChaos.lua,1.139672,24556151
BaseF,encounter,DevotionTestF,RoomDataF.lua,1.139672,24556151
BaseF,encounter,EliteChallengeF,RoomDataF.lua,1.139672,24556151
BaseF,encounter,PerfectClearChallengeF,RoomDataF.lua,1.139672,24556151
BaseF,encounter,TimeChallengeF,RoomDataF.lua,1.139672,24556151
BaseF,unit,ShadeMerc,RoomDataF.lua,1.139672,24556151
BaseG,encounter,DevotionTestG,RoomDataG.lua,1.139672,24556151
BaseG,encounter,EliteChallengeG,RoomDataG.lua,1.139672,24556151
BaseG,encounter,PerfectClearChallengeG,RoomDataG.lua,1.139672,24556151
BaseG,encounter,TimeChallengeG,RoomDataG.lua,1.139672,24556151
BaseG,unit,LavaSplash,RoomDataG.lua,1.139672,24556151
BaseG,unit,ShadeMerc,RoomDataG.lua,1.139672,24556151
BaseG_Combat,encounter,GeneratedG_ExtraDoor,RoomDataG.lua,1.139672,24556151
BaseH,encounter,EliteChallengeH,RoomDataH.lua,1.139672,24556151
BaseH,encounter,PerfectClearChallengeH,RoomDataH.lua,1.139672,24556151
BaseH,encounter,TimeChallengeH,RoomDataH.lua,1.139672,24556151
BaseI,encounter,DevotionTestI,RoomDataI.lua,1.139672,24556151
BaseI,encounter,EliteChallengeI,RoomDataI.lua,1.139672,24556151
BaseI,encounter,PerfectClearChallengeI,RoomDataI.lua,1.139672,24556151
BaseI,encounter,TimeChallengeI,RoomDataI.lua,1.139672,24556151
BaseI,unit,ShadeMerc,RoomDataI.lua,1.139672,24556151
BaseN,encounter,DevotionTestN,RoomDataN.lua,1.139672,24556151
BaseN,encounter,EliteChallengeN,RoomDataN.lua,1.139672,24556151
BaseN,encounter,PerfectClearChallengeN,RoomDataN.lua,1.139672,24556151
BaseN,encounter,TimeChallengeN,RoomDataN.lua,1.139672,24556151
BaseN,reward,HeraUpgrade,RoomDataN.lua,1.139672,24556151
BaseN,unit,ShadeMerc,RoomDataN.lua,1.139672,24556151
BaseN,unit,SoulPylon,RoomDataN.lua,1.139672,24556151
